Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,Pengembangan
DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1.120.000.000,Pengembangan
DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,Pengembangan
ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,Pengembangan
EKAD,Ekadharma International Tbk.,14 Agt 1990,3.493.875.000,Pengembangan
ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,Utama
ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,61.426.451.483,Utama
ENRG,Energi Mega Persada Tbk.,07 Jun 2004,26.346.230.250,Utama
EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,2.708.640.000,Pengembangan
ERAA,Erajaya Swasembada Tbk.,14 Des 2011,15.950.000.000,Utama
ERTX,Eratex Djaja Tbk.,21 Agt 1990,1.286.539.792,Pengembangan
ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,17.226.975.700,Utama
ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,Pengembangan
ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus
EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,18.199.862.451,Utama
FAST,Fast Food Indonesia Tbk.,11 Mei 1993,4.523.610.492,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,3.221.255.423,Pemantauan Khusus
FISH,FKS Multi Agro Tbk.,18 Jan 2002,4.800.000.000,Pengembangan
FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,6.400.000.000,Pengembangan
FORU,Fortune Indonesia Tbk,17 Jan 2002,465.224.000,Pengembangan
FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,Pengembangan
GAMA,Aksara Global Development Tbk.,11 Jul 2012,10.011.027.656,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,Pengembangan
GDYR,Goodyear Indonesia Tbk.,22 Des 1980,410.000.000,Pengembangan
GEMA,Gema Grahasarana Tbk.,12 Agt 2002,1.600.000.000,Pengembangan
GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,Utama
GGRM,Gudang Garam Tbk.,27 Agt 1990,1.924.088.000,Utama
GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,407.091.703.837,Pemantauan Khusus
GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,Utama
GLOB,Globe Kita Terang Tbk.,10 Jul 2012,1.111.112.000,Pemantauan Khusus
GMTD,Gowa Makassar Tourism Developm,11 Des 2000,1.015.380.000,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,1.277.276.000,Pengembangan
GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,Pemantauan Khusus
GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,Pengembangan
GSMF,Equity Development Investment ,23 Okt 1989,14.230.399.705,Pengembangan
GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,Utama
GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,Pengembangan
HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,Pemantauan Khusus
HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan
HERO,DFI Retail Nusantara Tbk.,21 Agt 1989,4.183.634.000,Pengembangan
HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,Utama
HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,Pemantauan Khusus
HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,116.318.076.900,Utama
HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,22.212.194.782,Pemantauan Khusus
HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,Pemantauan Khusus
HRUM,Harum Energy Tbk.,06 Okt 2010,13.518.100.000,Utama
IATA,MNC Energy Investments Tbk.,13 Sep 2006,31.275.829.981,Pengembangan
IBFN,Intan Baru Prana Tbk.,22 Des 2014,1.517.332.349,Pemantauan Khusus
IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1.350.904.927,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,Utama
ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,Pemantauan Khusus
IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,927.780.600,Pengembangan
IIKP,Inti Agri Resources Tbk,14 Okt 2002,33.600.000.000,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,13.305.799.387,Pemantauan Khusus
IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,Pengembangan
IMAS,Indomobil Sukses Internasional,15 Nov 1993,3.994.291.039,Utama
IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,10.849.262.500,Pengembangan
IMPC,Impack Pratama Industri Tbk.,17 Des 2014,54.907.000.000,Utama
INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,Pengembangan
INCI,Intanwijaya Internasional Tbk,24 Jul 1990,207.656.617,Pengembangan
INCO,Vale Indonesia Tbk.,16 Mei 1990,10.539.784.534,Utama
INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,Utama
INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,654.351.707,Pengembangan
INDS,Indospring Tbk.,10 Agt 1990,6.562.497.100,Pengembangan
INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama
INPC,Bank Artha Graha Internasional,23 Agt 1990,20.021.178.779,Utama
INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan
INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pengembangan
INTA,Intraco Penta Tbk.,23 Agt 1993,3.343.935.022,Pemantauan Khusus
INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.515.602.799,Utama
IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Pengembangan
ISAT,Indosat Tbk.,19 Okt 1994,32.250.810.957,Utama
ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama
ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,999.053.167,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,16.232.951.842,Pengembangan
JECC,Jembo Cable Company Tbk.,18 Nov 1992,756.000.000,Pengembangan
JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Pengembangan
JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
JRPT,Jaya Real Property Tbk.,29 Jun 1994,12.910.719.100,Utama
JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Pengembangan
JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,6.852.050.000,Utama
KAEF,Kimia Farma Tbk.,04 Jul 2001,5.566.588.407,Pengembangan
KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus
KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan
KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,1.620.000.000,Pengembangan
KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.813.391.540,Utama
KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus
KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan
KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,Pengembangan
KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,99.342.849.263,Utama
KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Pengembangan
KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,18.208.470.100,Pemantauan Khusus
LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pengembangan
LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus
LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,5.799.616.328,Pengembangan
LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pengembangan
LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pengembangan
LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pemantauan Khusus
LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan
LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pemantauan Khusus
LPCK,Lippo Cikarang Tbk,24 Jul 1997,5.134.685.692,Pengembangan
LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan
LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.258.279.280,Utama
LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.819.963.965,Utama
LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pemantauan Khusus
MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama
MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Pengembangan
MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Pemantauan Khusus
MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,24.472.983.771,Utama
MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Pengembangan
MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Pemantauan Khusus
MEDC,Medco Energi Internasional Tbk,12 Okt 1994,25.136.231.252,Utama
MEGA,Bank Mega Tbk.,17 Apr 2000,11.623.514.905,Utama
MERK,Merck Tbk.,23 Jul 1981,448.000.000,Pengembangan
META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pemantauan Khusus
MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus
MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,3.410.698.560,Pengembangan
MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan
MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,33.435.294.800,Utama
MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,13.907.481.500,Utama
MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus
MITI,Mitra Investindo Tbk.,16 Jul 1997,3.750.526.603,Pengembangan
MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan
MLBI,Multi Bintang Indonesia Tbk.,15 Des 1981,2.107.000.000,Utama
MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Utama
MLPL,Multipolar Tbk.,06 Nov 1989,15.682.323.987,Utama
MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,Pengembangan
MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Utama
MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama
MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.386.963.276,Utama
MPPA,Matahari Putra Prima Tbk.,21 Des 1992,12.966.640.084,Pengembangan
MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,Pengembangan
MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Utama
MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan
MTDL,Metrodata Electronics Tbk.,09 Apr 1990,12.276.884.585,Utama
MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,Pemantauan Khusus
MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama
MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus
MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,Pengembangan
MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,Utama
MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus
NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan
NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan
NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan
NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan
NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan
OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan
OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pemantauan Khusus
PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Pengembangan
PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Pengembangan
PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Utama
PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus
PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan
PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
PGAS,Perusahaan Gas Negara Tbk.,15 Des 2003,24.241.508.196,Utama
PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pengembangan
PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan
PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan
PKPK,Paragon Karya Perkasa Tbk.,11 Jul 2007,1.200.000.000,Pengembangan
PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus
PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan
POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus
POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus
PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan
PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,Pengembangan
PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pengembangan
PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,Utama
PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,Pengembangan
PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama
PTRO,Petrosea Tbk.,21 Mei 1990,10.086.050.000,Utama
PTSN,Sat Nusapersada Tbk,08 Nov 2007,5.314.344.000,Pengembangan
PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan
PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan
PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama
PYFA,Pyridam Farma Tbk,16 Okt 2001,11.236.692.744,Pengembangan
RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,Utama
RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama
RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,Pengembangan
RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pemantauan Khusus
RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan
RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pemantauan Khusus
RIGS,Rig Tenders Indonesia Tbk.,05 Mar 1990,609.130.000,Pengembangan
RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus
RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pemantauan Khusus
ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,Pengembangan
RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,Pengembangan
SAFE,Steady Safe Tbk,15 Agt 1994,821.207.512,Pengembangan
SAME,Sarana Meditama Metropolitan T,11 Jan 2013,17.147.132.545,Utama
SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
SCMA,Surya Citra Media Tbk.,16 Jul 2002,73.970.569.505,Utama
SCPI,Organon Pharma Indonesia Tbk.,08 Jun 1990,3.600.000,Pemantauan Khusus
SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pengembangan
SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,Pengembangan
SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
SGRO,Sampoerna Agro Tbk.,18 Jun 2007,1.818.622.000,Utama
SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan
SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,30.000.000.000,Utama
SILO,Siloam International Hospitals,12 Sep 2013,13.006.125.000,Utama
SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus
SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.501.310.000,Utama
SIPD,Sreeya Sewu Indonesia Tbk.,27 Des 1996,1.839.102.056,Pemantauan Khusus
SKBM,Sekar Bumi Tbk.,28 Sep 2012,1.730.103.217,Pengembangan
SKLT,Sekar Laut Tbk.,08 Sep 1993,6.907.405.000,Pengembangan
SKYB,Northcliff Citranusa Indonesia,07 Jul 2010,585.000.000,Pemantauan Khusus
SMAR,Sinar Mas Agro Resources and T,20 Nov 1992,2.872.193.366,Utama
SMBR,Semen Baturaja Tbk.,28 Jun 2013,9.932.534.336,Utama
SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus
SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan
SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama
SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama
SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama
SMMT,Golden Eagle Energy Tbk.,01 Des 1997,3.425.000.000,Pengembangan
SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama
SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,Pemantauan Khusus
SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama
SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,Pengembangan
SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pengembangan
SPMA,Suparma Tbk.,16 Nov 1994,4.100.317.438,Pengembangan
SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pemantauan Khusus
SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.238.959.990,Pengembangan
SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus
SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan
SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama
SSMS,Sawit Sumbermas Sarana Tbk.,12 Des 2013,9.525.000.000,Utama
SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pemantauan Khusus
STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Pengembangan
STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pemantauan Khusus
SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan
SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus
TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan
TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus
TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus
TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,6.025.373.372,Utama
TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan
TCID,Mandom Indonesia Tbk.,30 Sep 1993,402.133.334,Pengembangan
TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus
TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus
TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,Utama
TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama
TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.257.402.931,Utama
TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan
TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama
TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Pengembangan
TPMA,Trans Power Marine Tbk.,20 Feb 2013,3.507.420.034,Utama
TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Pemantauan Khusus
TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus
TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan
TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan
TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.509.864.300,Utama
ULTJ,Ultrajaya Milk Industry & Trad,02 Jul 1990,10.398.175.200,Utama
UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan
UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,Pemantauan Khusus
UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
VINS,Victoria Insurance Tbk.,28 Sep 2015,1.553.430.759,Pengembangan
VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus
VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan
WICO,Wicaksana Overseas Internation,08 Agt 1994,2.393.710.348,Pemantauan Khusus
WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
